epoch,train_loss,train_ipw_ce,train_ipw_causal,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,0.887435963872849,0.8902953642736671,-0.0028594028518351636,0.4686135543808268,0.8174681059862611,0.7196897277731416,0.8175693925846134
2,0.8580644792261406,0.8609586473820465,-0.0028941685486948824,0.4609472183062822,0.8125613346418057,0.7010387905042559,0.8161246985757687
3,0.8365992681209405,0.8395148554741019,-0.0029155829111412457,0.4507987553050871,0.8243375858684985,0.7097024417076195,0.8226572909843702
4,0.8260186440682865,0.8291686862502157,-0.0031500403454054024,0.4430846419254861,0.8233562315996075,0.708058851802629,0.8270082185857075
5,0.8161622053538617,0.8194167966604821,-0.003254589824223616,0.45465264867870564,0.8174681059862611,0.7000427428368539,0.8161360508883384
6,0.8077454630740567,0.8110972978341248,-0.0033518323050414764,0.4457676501924554,0.8282630029440629,0.7072959481070223,0.8336475088093653
7,0.8028913359380935,0.8063936180886248,-0.003502283115369085,0.4347737701180171,0.8292443572129539,0.7194503615443611,0.832222044293836
8,0.7989208734656233,0.8024669331717184,-0.0035460586966608158,0.4446593987462097,0.8135426889106968,0.7044065779400965,0.8170641640051753
9,0.7937107207227276,0.7973394825302619,-0.003628761515592719,0.43812344329279934,0.8272816486751717,0.7175518200866253,0.8302406620493746
10,0.7892035282790391,0.7928645457406254,-0.0036610156133000758,0.44854524746259367,0.8145240431795878,0.7029964421662231,0.8180358612104323
