epoch,train_loss,accuracy,precision,recall,f1,loss
1,0.6458978539199193,1.0,1.0,1.0,1.0,0.27305573663720906
2,0.5083529601812942,1.0,1.0,1.0,1.0,0.10483306090660956
3,0.9254109803963264,1.0,1.0,1.0,1.0,0.057360707894625676
4,0.8077750078399512,1.0,1.0,1.0,1.0,0.03596646710864695
5,1.0422823004949844,1.0,1.0,1.0,1.0,0.024411234613489707
6,0.7127666690636967,1.0,1.0,1.0,1.0,0.017820100555008128
7,1.3279462682089753,1.0,1.0,1.0,1.0,0.013774201741864332
8,1.3930870714033,1.0,1.0,1.0,1.0,0.011354888839623411
9,0.8505403998241412,1.0,1.0,1.0,1.0,0.010199905319232585
10,0.8905148543076453,1.0,1.0,1.0,1.0,0.009780135901390746
